"","G0","G1","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G2","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G3","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G4","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G5","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G7","G71","G72","G73","G74","G75","G76","G77","G78","G79","G8","G80","G81","G82","G83","G84","G85","G86","G87","G88","G89","G9"
"PWY-6339",34.3825460052038,51.8213157076047,11.4204067017708,23.6504809927161,87.9245497598426,17.4436351713827,0,28.4842938160916,0,80.9056477006023,0,171.271866627622,228.327881611319,61.7943422393569,23.4344721621359,6.98147682727022,265.969757149742,14.0692859007378,105.556425775624,42.80339493929,214.194427835733,0,286.681383904565,0,0,10775.5894435225,1059.37809692183,1744.98905000819,61.7293772593934,5430.18981317192,389.033039821621,0,146.384851833609,315.696270699637,30.4452056217597,538.777315586668,346.579401406531,316.034793368914,13203.1414819162,0,980.175459059579,705.066046077489,0,779.007032360497,2703.66435296451,876.364750312543,1961.30441913449,0,1333.69229519874,0,142.723876319991,767.939285884434,4860.16452387152,0,570.613783515652,576.863757132978,506.355024347056,236.115685462448,0,525.977232945689,0,552.329560695714,192.973937699763,337.052602041522,352.991009616392,210.66056773228,66.5701557837165,4604.04114890551,3759.93226345047,44911.9324893364,47218.0726505978,57606.6882407062,100352.963594118,623.974447381697,0,20537.8523035788,50.444659942134,62966.6789128821,67786.8081401976,5364.21359841831,3299.49437940202,2407.08436616692,1679.16538548528,14.2344510028678,948.347396553843,1.80041018729948,342.489279502187,2.66952539599168
"PWY-6349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32826127590911,0,0,0,0,0,3.99325671914553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0332902283421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61910460223148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6353",91.610805992563,2101.92002400898,1854.29066169944,1433.82199329849,950.03638184601,323.071968728814,597.292770735178,139.493073296052,0,2572.57361817069,28.502309526655,398.111098835831,2738.16645885325,2717.13648659341,3726.41097197424,5628.30915795314,3157.80666647079,1940.97601028723,462.182085208056,855.096099544901,1217.12539043698,0,2170.44782714253,173.929641331684,50.9192424282479,59726.2414540561,1792.71483420811,6639.15323853387,1270.57642998064,11624.5166669405,19977.5948887678,1147.0385779683,486.689553128236,496.749856454357,762.096454162351,2013.42838328942,1496.31498296556,15436.6834218495,82786.5642726628,109013.979035634,11750.2535038857,6556.28966392572,2407.02313006096,1304.16721082691,11457.7090841248,3137.34791707108,5689.56069157477,131.839932712373,27485.2650739443,4596.73387664474,1500.4422361434,1896.83618344582,17035.8333371688,319.13065356615,2277.82851906726,1060.94931891339,555.648602343144,1310.69348750889,4382.51554120122,1872.44182603537,830.923231489297,1763.50399912483,400.215684343858,1841.7482407636,1143.30992989119,1149.5955985333,2079.30515670978,47102.8464813059,22822.6647920362,82971.5285993302,68003.462923947,173366.908031826,112099.239965545,73966.5180373443,87.5615532130536,22575.6430117372,3198.84391394993,116079.150014273,135441.867311605,23309.3602455514,10405.9112662515,106107.971932547,5990.24261431447,9925.62239121533,17950.9094087931,77800.5220889459,2397.0340905761,321.344483805565
"PWY-6383",12.7958487685675,5.35940147430036,572.76593296434,45.155011849142,63.7762482244427,55.8816656880982,9.73091157328299,3.91381683365984,0,19.9089718532109,0,11.231067315379,155.920974458029,384.773627344583,398.426740563213,0,146.143585935071,28.9293723143616,14.3629225984363,100.620915744643,6.20316736740964,0,725.899532114231,0,0,22329.3814891975,0,1830.75219371811,318.847600170131,2890.44583056904,485.633113705855,0,46.5503348364329,169.434472303878,2.92845739042049,171.878736124463,29.6183237244989,65.8976683259667,1844.26140665784,0,242.811252696259,3308.9084193512,61.1655458055624,205.089481479047,972.67923085332,604.106451997198,679.760219817734,0,20330.8161297637,3443.71590823404,867.564213794571,117.678796186522,1630.01655882928,8.50392313336949,314.389076158685,0,0,13.8677989969118,229.071678314187,131.903501815415,7.42442654095383,562.92861760766,165.872921453181,1110.90161141841,231.701663765754,458.09520485088,2116.48127774013,1956.96835962281,6683.09786183869,5335.47851641971,5128.35203728454,22152.1475751488,13754.5218833708,147.645710439293,52.1139313705076,3884.78326176104,64.5226446659588,10469.8494117816,9493.01695560881,1415.71905214306,3655.05882303401,1169.25638488985,744.685631964091,86.7054171332308,1081.37530055969,66.4983351497732,760.476505505344,11.5425726542923
"PWY-6385",238.885223084577,24199.3695353781,15474.3706416913,3799.67866740152,3439.44503499957,585.089191272405,5806.63167777575,180.384245514223,9500.9213497554,17052.0690511285,763.567886730422,562.092180696385,3720.60444189348,2914.26267714404,5158.40012810085,14679.5626691167,7042.89070780812,17065.6839947943,507.073137920262,1162.10268598005,1325.13275635505,34.02,2679.76831025544,14751.579961565,7000.98382558048,60829.8667748139,7889.77242132429,7084.760295898,1393.56045524826,14168.1053368106,51305.4036953327,2968.04522565233,473.247762295439,1067.83802680839,31621.734589404,3488.72381656555,2599.00899683138,19904.9368924294,66620.9130423639,85725.3289693204,11361.4570241551,5963.84105786777,61428.6305507498,7809.44575067207,12386.5045028384,3840.4843768243,6603.02640610094,786.975730288882,22951.8276364282,3620.74619266312,1189.96654255229,3884.15169769274,16889.2480451964,243.310661124638,2931.13361495871,3415.38579988102,729.825722752215,1331.09832006032,3314.94949997209,4884.06643900332,672.840255571908,2058.94350482884,534.972375003536,2244.73685137997,1043.60254562706,1303.83215670095,3256.2069735392,47016.0672995134,21774.033735603,89364.2159605428,83956.6601429969,163437.35101397,178330.252731019,53747.2351269342,162.529439401611,32496.4482276149,8282.13002421743,127261.502371192,147656.976162225,24571.0279542171,11787.9620538771,79473.3625266705,9907.87170415303,50284.3252625902,86161.5095399948,56485.2174395857,2562.46218117177,11872.7114167342
"PWY-6386",243.773677271759,24189.1039086183,15462.6673009876,3768.91664823751,3466.82992613744,579.692553673105,5751.53433605736,184.606489220647,9436.68630201314,16918.1640016222,758.156520842599,574.929026127775,3693.89270197726,3001.48966434728,5182.48062653376,14612.2366895796,7030.42542743288,17045.2783596415,542.497198632955,1191.53997748352,1330.72514536151,34.02,2759.2213796216,14636.9005410919,6944.5811344279,64084.3859288409,7849.4027835338,7067.87294651305,1447.95673597309,14535.1041574821,51199.2629775115,2961.71132969957,466.448261225592,1062.20913958517,31377.8195447088,3509.32982391989,2628.70262876281,19876.4231954844,66433.3010524314,85886.0349628387,11333.8388682831,6012.82234737558,61279.5078041833,7764.98478016022,13406.3922616011,3871.65767848419,6747.70475709372,777.136816566662,22775.2266832257,3571.36855009178,1243.73320817391,3866.5365782497,17004.879331257,241.686461414868,2981.25148374646,3406.74668982475,761.5747882576,1333.16435663413,3322.1438049003,4882.52214280046,678.080283457286,1994.54399226385,541.484071922051,2301.416647948,1093.97655321292,1262.15979944595,3237.53951503097,46313.2756726424,21852.9932852487,90379.0251575429,85194.6259032927,166023.358064389,181016.611549475,53173.9857591246,163.435517187335,33217.2418451833,8285.86353760994,129538.783702998,149732.602715943,25403.6999194191,12195.0878117017,79556.5939914662,9980.77579161698,50460.2845587827,86500.9047403039,56189.5356759144,2557.27687103742,11783.7222840424
"PWY-6387",246.944622783748,24221.9145262983,15514.2211809835,3934.22651322533,3460.09536674862,609.277523072597,6004.59946028686,189.47967440047,9828.27063877567,17633.4930439217,789.849624556539,570.418157930602,3758.4848204755,2987.19474977585,5209.54483544486,14723.6061195213,7107.29299644821,17088.2124960922,538.300686801615,1191.22291716102,1358.20659745609,34.02,2739.97547731012,15258.1249605759,7242.84307926777,63848.4989372705,7992.56637330036,7192.58847494634,1450.36513013071,14587.485370054,53656.5651968329,3018.0169145388,489.402450056114,1087.46829445168,32700.4042448012,3563.70571387895,2657.37434473754,20739.4103754449,67541.194142687,85893.335850569,11559.7738642308,6156.48917115124,63881.2374385044,7913.77777550561,13299.0162546511,3903.41846764432,6809.11756383945,795.088757726468,22473.6098282017,3517.25771190976,1219.907183454,3929.49554011009,17295.3170809516,246.591245667456,2971.78603568174,3459.75366674168,745.852836464215,1358.87527033427,3346.17189770514,4946.65763243306,682.479527857528,2133.89271145804,549.372990207912,2299.10790551699,1078.40880440637,1322.82571408371,3310.00554326106,47730.9570075612,22148.6540376149,90346.3738891242,84735.1842092594,166255.609746716,181250.574682876,54359.8025605295,164.347167474194,33058.5206682059,8333.64679772277,129461.989138198,150206.165135899,25655.9545130257,12188.535324845,80996.0433524835,10117.0129978968,52219.0158700408,89415.3802741461,57346.2655243669,2602.68420398825,12278.7558401543
"PWY-6396",27.2260904575902,373.043177574977,616.831382874768,5481.74629654026,349.501922449179,519.468024527203,8339.75017302925,82.4438114473702,14480.4417467244,25229.481485048,1144.3199951682,158.646683470436,444.68621587582,727.302295228589,1444.6736504715,923.659997096793,859.337199250615,463.870301616956,335.569461064279,523.95442725408,1252.56186612257,0,1181.54855269957,21943.9809145171,10387.4550558628,44392.8688616007,268.207096598341,1794.03435399783,745.227033650718,10606.1644778953,60597.2928095134,340.666455336092,37.5670624242183,530.356882708854,46759.3650173816,750.642601249839,691.597429793014,22110.7110246047,19536.817220105,87121.4229068774,1464.18503034857,3911.17127196046,76325.2633331646,622.519626938426,5634.59600378015,1631.23231819773,3874.5499367719,380.582980592679,447.76237295506,433.196560629745,711.932056364534,258.470525753764,8325.92904367287,11.2595322228923,1390.73129545517,270.09557754321,265.626439929639,69.9151737808016,2425.88125143789,814.418305916287,159.682786864506,1211.20002359192,421.417806702165,1418.98480854109,928.632859929988,249.413881940092,883.398847204765,25238.2580324449,13061.3762786006,102386.353800241,104720.653502365,160725.102919106,205968.797715507,1254.23140289609,39.7990843291593,39201.700433472,578.992194301012,140795.720105232,162891.205891072,14716.0092476886,8252.27252753685,5763.82826009559,3174.41725152127,62761.1885327854,103196.241267129,636.288728678968,904.760579750713,17829.3705477176
"PWY-6397",6.77142577320793,0,196.220438955392,1.0064092090389,6.81233168321552,14.704226830713,5.0815250868336,2.08323206382408,0,9.68865475355283,0,1.8031774055631,89.5005051051904,150.439027216818,195.292833025305,0,76.6359567560563,15.0553918445681,1.01460195549779,45.9162535810858,4.92885045105836,0,333.54688554763,0,0,4346.86899390134,0,536.001830630316,28.5716598428271,740.915643908638,125.201769546714,0,0,100.590143796364,0,14.2241192464082,5.29411791798887,19.1038978659071,10.0474425620135,0,24.0936707658533,437.129010641711,42.7847119044306,13.6018898496737,123.429487324286,123.745803522608,91.5877688191639,0,138.311195082911,0,104.795389285913,0,328.575332842543,0,62.4928053888128,0,0,0,31.664928571149,9.06796913037858,0,114.977494721229,0,608.887850374341,0,127.04408651992,2030.59141817008,439.718060106785,2993.28700125151,215.255441213484,21.9054083486303,7958.64026861077,720.301970760684,36.0498738711943,0,318.221369516706,35.7530356045614,1167.3240022666,1451.96399483965,474.008614121462,1605.37283449997,325.721405676,262.086886408111,10.4972954301107,353.872735522429,32.7297996031523,488.161332043255,0
"PWY-6404",0,0,6.93315820198767e-07,0,0,15.188634296379,0,0,0,0,0,3.10375379638179,0,2.00473888171747,0.977578711865545,0,0,1.97818745594532,0,0,0,0,0,0,0,2869.08621714836,0,63.0844199140629,48.186418477263,147.573412520344,69.6816852849129,0,0,0,0,0,0,0,12.2743969417027,0,32.6552973869477,0,0,15.3901485293494,69.0813987297357,72.7778714968186,0,0,41.4119555552019,0,0,0,37.0404959968546,0,47.3603142425152,0,0,0,0,0,0,0,0,0,0,5.36863847011763,0,731.566394979235,315.156270159347,0,0,593.591759488271,10.8643738664118,0,0,361.439349839039,0,119.500854084743,205.651071241137,0,223.850175068034,0,0,0,238.435155449702,0,0,0
"PWY-6467",201.245875023063,23920.7602521707,14824.52,149.397977379043,3123.70672526705,280.61162215154,88.7675758426998,114.657631881739,4.74591540533209,240.815080982012,2.32,460.129674767826,3244.22045711358,1883.91514381346,3608.14812173479,13867.2819378738,6703.86549921258,16765.5395943235,296.419015933559,462.409224417315,201.477322612255,34.02,1328.56940759106,23.92,19.8731355511213,26272.0078708866,7463.19000931272,5044.01337178116,780.196471668887,10767.0021214104,2295.22842405875,2832.12013711354,369.37,797.869999710876,126.170675076374,2665.672529143,2083.41418197458,2258.4068929094,64208.38,80899.9100054189,9908.0242423984,1243.23167216805,158.50999999999,7019.97419006285,7043.29675899781,2789.11543916637,4590.35602180401,738.34,4172.70621605043,488.44,200.770235271397,3619.1540967677,9671.956191316,228.830876383582,2289.57057214841,3124.4341100323,287.23,1146.40610677029,5267.42999947743,4303.07249330093,552.648290778014,977.529992300846,381.679703055882,854.465905531989,784.35200841503,415.85,477.69859728174,39097.5894949002,12038.4879337981,92014.0137616059,91055.7054525742,144694.636686488,190316.317498125,51142.0866023004,106.939999944318,34038.7663251773,7747.66158514366,122737.348022935,150006.923614547,18874.8842070049,6431.5555270831,70222.2668300286,8543.98591796778,803.176843777163,1488.10638573969,51615.0905389105,1591.5356231619,37.88
