"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"296",4.44462208816421,4.8939797331368,3.92064273509992,-0.871304890394139,1.34213641082498,-0.55827631912856,0.253458282959777,4.52005542886587e-06,0.00014390791054966,7.18803726824179e-05,0.000899742315937763
"297",4.0946833884177,4.59146956712246,3.82074391847733,-0.591452364461782,1.22115104851722,-0.428433089403184,0.310575639546763,0.000218551356736031,0.00146268900065447,0.0040170194286124,0.0173420789316296
"311",4.27194151930268,4.87644326151685,3.73909556481329,-1.19116131925042,2.37525739865059,-0.470067937464798,0.275892861800595,2.70091321871689e-05,0.000435405843849857,0.000542935464268444,0.00395838172417693
"318",4.20266796120243,4.65697982374794,4.03105892453518,-0.760134676120679,2.09135447037152,-0.340881529829516,0.319053997207781,0.000109023982701247,0.000876666782608742,0.00502903593375548,0.0204945744941318
"324",-0.173337401080934,1.30950984952711,-0.832687975858152,-2.66450303290949,4.91151072131794,-0.456739113298403,0.281570731833203,0.00248688687341914,0.00880807801387043,0.00044975927612198,0.00342106713111592
"352",5.77587247556445,5.938691928684,5.55748800504708,-0.49438062159223,2.00577783373883,-0.199985750031014,0.40178571598234,0.00913989419230674,0.0269381693200711,0.157184418791767,0.273431556275264
"355",3.70319758089571,4.09750979107433,3.38591965951586,-0.692353871366493,1.28335959426235,-0.516140649470033,0.261160719425093,5.67348002116984e-05,0.000600534177934095,0.000210299331775829,0.00193161877364488
"361",4.63157692637756,5.1792744405313,4.35201468456845,-0.825294447825025,2.00444033884238,-0.368258286886527,0.314285717863713,5.28269895457728e-05,0.00058394312711047,0.0026482803749882,0.0134257905559643
"365",4.6068922916812,5.06465459023329,4.30486993119551,-0.845225814877509,1.92307454830944,-0.390040185437783,0.296428575481335,3.43292408551248e-05,0.000502517446998212,0.00149461327464301,0.00889752797191141
"367",4.55470456814472,5.05179497249649,4.31769128252619,-0.787597545373589,1.99727369333258,-0.370902858681857,0.324854978770116,7.52204623120951e-05,0.000687348367064229,0.00577149901212217,0.0224724703791559
"368",4.46607172504789,4.88465492897009,4.18190936457407,-0.765249072862236,1.83166660324535,-0.350132154632505,0.312946432183598,7.77925569991788e-05,0.000697480350136448,0.00407821003593273,0.0178389077953418
"369",4.5578278068968,5.05361789472125,4.31410817706914,-0.79744358722587,2.04853890896535,-0.351050306214376,0.328571431797814,7.5848677675737e-05,0.000687405792481762,0.00569459354062435,0.0223229413370156
