"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"201",1.75350867626379,0.817414973228899,3.01315842034821,2.37714240130677,2.45590238826307,0.876609901252567,0.116465878915501,2.79900975677719e-07,1.28925731076192e-05,1.00008894438893e-10,2.25520056959704e-08
"206",1.2186495576336,0.486398149853739,1.96374886550618,1.77036761843704,1.96695799304826,0.765040830259542,0.155803582294029,3.16519039404637e-05,0.00032307688068647,2.16162710393375e-08,1.36120650926449e-06
"208",-0.649735207501799,-1.80779811168652,0.836633249207496,2.75917506469547,4.22707216918145,0.564892738958893,0.199910761910689,0.00396817381809124,0.0120169974137603,1.50383531759407e-06,4.37082506573204e-05
"233",2.82583357040686,2.32616284845247,3.3399846078189,1.28218806654673,1.70070252767504,0.654455210817082,0.161160724692543,1.89364078865035e-05,0.000262381570092603,5.73592013596434e-08,2.8943609841604e-06
"235",0.368486194704642,-0.268614066411483,2.14303126549502,2.68949019999216,3.94840096345204,0.607990817296596,0.159750122072679,0.00275000692039151,0.00923741044614267,2.4269166796918e-08,1.47787681368594e-06
"239",0.819744271050833,-0.237194143456801,1.69715212528406,2.08023473387446,2.96882188272154,0.594442411232957,0.210620266033359,2.77211469671939e-05,0.000371382013208375,4.37115483020713e-06,9.78576002506876e-05
"240",-1.6886366145571,-2.81411430257853,-0.206553078554319,2.76369529578648,5.40891793154422,0.443578710420196,0.288710401412327,0.0129684463276236,0.032045188591491,0.000947517335174428,0.00609716046751994
"256",1.7544798471604,1.01350256923907,2.23283379694613,1.3100455393931,2.63774462952025,0.385437644617293,0.291834006855813,0.00572254376173474,0.0162754463857931,0.000736852525991109,0.00501612079533582
"259",-2.60164803178093,-3.59256538388737,-1.25921126623522,2.19016010789213,3.51369541648313,0.554974098825599,0.23303572048752,0.00156636523383661,0.00477295906290132,2.63462350493622e-05,0.000379312455687214
"260",-0.192534682139528,-1.08395211362929,1.33125589308392,2.31612592117269,6.07379664699366,0.393603207750289,0.229808127707,0.0144785953520767,0.0357455353600576,2.02594044468877e-05,0.000331683543470017
"267",-2.08113114112339,-3.25450703898912,-0.359458594231782,2.26450807350684,4.93588551558686,0.41398168603345,0.28080357593514,0.0112415262499271,0.0282048736153741,0.000893561544375476,0.00567595310470692
"285",1.9640944291816,1.03117291329611,2.78696776724651,1.72688792872021,2.41915372850629,0.593826682862851,0.220437311523322,4.03925960416179e-05,0.000458539597512425,7.94380403254789e-06,0.000156288475334958
"292",1.5745239751553,0.449851502344124,2.71651968190373,2.31720005947452,2.80049306861086,0.722308679324198,0.200803220585465,4.76381397750148e-06,0.000144189917621652,1.28575591952492e-06,3.95179632936988e-05
"298",-0.987595355657246,-4.94376863799236,1.11587661433276,4.79765450415457,7.17099216098782,0.598229643667127,0.273538603567374,0.000465733644709115,0.00213100901364991,0.000285789427807986,0.00242459497198007
"304",-0.407744660967838,-1.11908130882483,0.352075075846745,1.49353846344258,3.58026454587593,0.359952937471457,0.309375003704376,0.00782032437962582,0.023426134280708,0.00437299740691888,0.018620615297257
"312",-2.54874719837183,-3.25090929741731,-0.848668944509128,2.91540115432832,5.96967272765965,0.438685076357832,0.30298974059455,0.0163173946144965,0.0375420840832696,0.00255491729599501,0.0122923296283653
"329",3.96367201301288,3.6983197316149,4.38159978866257,0.7214535846671,1.49709962443599,0.426220701810268,0.246875005652669,0.00232335241527014,0.00873606385997177,8.80413101833191e-05,0.00104013355113079
"335",0.925317497457264,0.536760974889904,1.43145266831273,0.886550678684475,2.2779670660305,0.261537719957573,0.317857146345071,0.0231206348754322,0.0498901272061645,0.00558134700680392,0.0219892704313352
"348",-2.0790030300479,-3.27994886905539,-0.351161956933816,2.25826338392363,5.02296214784442,0.398825614613695,0.286033025319157,0.0119322528679331,0.0281222929752184,0.000811538643709714,0.00530115037916466
"349",-1.91492897064346,-3.08610560122237,-0.193784476410291,2.28285478508574,5.11020510455446,0.40708851984997,0.285140566621697,0.0116155394577579,0.0289882592562585,0.000712428210882012,0.00483182248731113
"380",0.998051087292703,-0.564246635710075,2.03761705618101,2.35189682746645,3.22943516835519,0.611568854502822,0.229910720619592,1.37093147502493e-05,0.000239690160552484,9.18926017086714e-06,0.000175884088813199
"388",-1.68741290096011,-2.55531099150177,0.0707968997505546,2.70540511097894,5.1009513984081,0.527096281550096,0.206250007450112,0.00299021758911231,0.00973319652411048,3.07032853239968e-06,7.23565479652273e-05
"390",-1.72805301471576,-2.70802807533486,-0.0810462485692724,2.69925509843854,4.97038482716773,0.504028160811078,0.215975018113953,0.00299330703466065,0.00946594314316431,3.27021943836324e-06,7.64800188374138e-05
"400",2.91581646504923,1.88776022575503,3.91100317068369,2.08486259507796,2.81428705541905,0.637654899598384,0.207496660658719,0.00200269471853201,0.0055531367324613,1.65047424438311e-06,4.80657567041398e-05
"401",-3.07301707742506,-4.75836848456388,-1.67849089550303,3.23307597528461,5.65367871279235,0.489092393172098,0.273214290456362,0.00436708388466334,0.0125710935560826,0.000437694813208098,0.00327780263651313
"417",0.783876626665659,0.245743564262547,1.50753775511701,1.19236622827093,3.32085399091915,0.305428357274749,0.332589288845729,0.00935779933705377,0.0271535297271286,0.00827422963462374,0.0289605619184382
"424",2.66884369510078,2.42364685877713,2.88447976125962,0.575898150117373,1.80246422485023,0.231757307258926,0.355357145478797,0.0131676697888418,0.0359600108119111,0.0218705309872061,0.0578925998877816
"425",1.66050277920556,0.733716316263964,2.74510158297714,2.08133740091009,2.57433194377287,0.721235879505969,0.182061588508786,9.66949510347322e-06,0.000191394634187555,1.12351714872162e-07,5.10578734783797e-06
"429",1.76864559200972,0.320013797399545,2.28608342590788,1.83025018409192,3.10472707933005,0.469427744483933,0.309683180846114,0.000665571163487274,0.00339357880549032,0.00165216071663518,0.00952922434760921
"430",-0.517510841512987,-1.24109905569013,0.277224938658966,1.6071343246446,3.580028074606,0.396828949381535,0.308344492795332,0.00246398514591244,0.00938941197156426,0.00311462451908173,0.0147151054511512
"436",-0.955575472290563,-2.04717422633611,0.401747427597233,2.37875575726859,4.20798733464209,0.437474599406461,0.260267862312897,0.0183981943931366,0.041860327956284,0.000143399281540229,0.00148257828077744
"445",0.594701441311967,-0.220168066249444,1.23229793029832,1.44504981029324,2.73446491953624,0.428546409051381,0.279910718819445,0.00262366642962062,0.00985983825524672,0.000403901875320386,0.00318022312942492
